"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Description","Impact","Url","GTR Outcome URL","GTR OutcomeId","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"MRC","MR/N006631/1","Research Grant","Products Interventions & Clinical Trials","University of Southampton","Faculty of Medicine","Elkington","Paul","http://orcid.org/0000-0003-0390-0613","PeRSo PPE respirator","Therapeutic Intervention - Medical Devices","Wide-scale adoption","",,"2020","Under active development/distribution","In the early stages of the COVID pandemic, we realised that PPE was going to be a critical issue. With engineers at the University of Southampton, we developed the Personal Respirator Southampton (PeRSo), and partnered with University Hospital Southampton and a local business to scale up production. The respirators provide better protection than standard PPE, are preferred by both the patients and staff, are reusable and sustainable. During the first wave, over 1,000 were deployed, and for the second wave over 3,500 were in use, all requested by staff members. Furthermore, over 20 NHS trusts across the country have taken up this innovation.
We are promoting the idea of widespread respirator use as an alternative PPE strategy nationally. I was awarded an MBE for this work in the 2020 Queen's Birthday Honours, and the work has received widespread positive coverage in the media, summarised on our website below.","The hospital functioned efficiently during the pandemic and respirator use was widespread","https://www.southampton.ac.uk/publicpolicy/support-for-policymakers/policy-projects/perso.page","604753121a6e79.43538461","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=604753121a6e79.43538461&grantRef=MR%2FN006631%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/N006631/1","C35AB815-CFBA-44F1-91AF-33958C612C81","C008C651-F5B0-4859-A334-5F574AB6B57C","30A429E3-83B7-4E41-99C0-14A144F07DFE","F8B2FDCD-87E8-4DF1-95F8-691923BEB63A"
"EPSRC","EP/T015411/1","Research Grant","Products Interventions & Clinical Trials","University of East Anglia","Norwich Business School","Lettice","Fiona","","Child Malnutrition sub-project: Pro Vit A supplement (Malaysia)","Preventative Intervention - Nutrition and Chemoprevention","Refinement.  Non-clinical","",,"2021","Under active development/distribution","The developed product is a Pro Vitamin A supplement for children. The supplements contain Vitamin A, C, D and Zinc, based on the needs of local community. It is an oral dispersible film, its dosage form is instantly dissolvable making the supplements pediatric friendly. It is called 'Pro Vitamin A' to relate to the base of the film used, i.e. Red Palm Oil, sourced by the leading Malaysian producer of sustainable palm oil. At the current development stage, the film has been successfully produced at lab scale and tested at pilot scale. Its productivity at pilot scale is at refinement stage. Besides, the team in Malaysia has attempted to pack the supplements into attractive dosage form. However, supplement refinement needs to focus on long term stability as well as its packaging.","Notable impacts arising from this development will be the innovative pharmaceutical dosage form of oral dispersible film with the strategy of self emulsification strategy. It is not a conventional oral dispersible film, but rather dissolvable and emulsified at the same time as a result of palm oil inclusion in our formula. This will bring us to the next generation of pharmaceutical dosage form which could solve the difficulty in swallowing among the children and may also be extended to the geriatrics that comitted to long term prescription. In Malaysia, the use of electrospinning in producing pharmaceutical dosage form will enable Malaysia as pioneering in this aspect. The pitch of this idea following the successful production of our pediatric supplement has reached the interest of local pharmaceutical for supporting the expansion of this research as industrial-academia collaboration. Evidence of the output is letter of intent recieved early of this year. This is an important step to move our product onto next stage into GMP and certified by regulatory body.",,"621e4ac7ddada7.91326691","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=621e4ac7ddada7.91326691&grantRef=EP%2FT015411%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T015411/1","639EC3B0-2691-4FC6-9A70-6E64D953F9E4","798CB33D-C79E-4578-83F2-72606407192C","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","3BB0E0EE-0E97-40E2-A21B-A9EE0F702453"
"MRC","MC_G0900869","Intramural","Products Interventions & Clinical Trials","University of Edinburgh",,"Seckl","Jonathan","","EDBT word building task","Diagnostic Tool - Non-Imaging","Early clinical assessment","",,"2012","Under active development/distribution","We have also designed a new test implemented on the EDTB2 platform called the 'Word Building Task'. This is a new test of sustained attention which is essentially a verbal version of the EDTB2 counting tasks. It was the subject of an MSc project by Gemma Brown and the results of this study show that this new task is highly promising as a means of testing attention in patients with delirium.","The work is being presented at the European Delirium Association meeting in October 2012 and will shortly be submitted for publication.",,"a6EtnzQUoue","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=a6EtnzQUoue&grantRef=MC_G0900869","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_G0900869","D9046162-4616-4486-BE8B-BEA98DA9C7CE","C008C651-F5B0-4859-A334-5F574AB6B57C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","43624727-2D66-49AE-8923-426DD4CDD141"
"MRC","MR/J011134/1","Research Grant","Products Interventions & Clinical Trials","Queen Mary, University of London","William Harvey Research Institute","Hinds","Charles","","A Nitric Oxide (NOx) generating solution for prevention of VAP","Therapeutic Intervention - Drug","Refinement.  Clinical","Yes",,"2016","On hold","NOVAP Dose-Finding Study A

A liquid that restores the naturally occurring gas (Nitric Oxide) to prevent pneumonia in patients on breathing machines: A study to find the best dose'. We have developed a new system that generates and delivers nitric oxide and other oxides of nitrogen (NO/NOx) to the stomach and oral cavity of mechanically ventilated patients. We hypothesise that the use of this solution to decontaminate the mouth, upper throat and stomach will significantly reduce the incidence of ventilator-associated pneumonia (VAP) in mechanically ventilated patients. During critical illness, production of NO is markedly reduced in the digestive tract. This deficiency predisposes to bacterial overgrowth of the stomach and oral cavity and the subsequent development of VAP following unwanted inhalation of infected secretions. The NO generating solution is designed to restore normal levels of NOx in the oral cavity and stomach. The objective of this therapy is to reduce the incidence of VAP and the associated prolonged length of stay, morbidity, mortality and treatment costs.","Other","http://public.ukcrn.org.uk/search/StudyDetail.aspx?StudyID=15334","56dee238eaa193.55143268","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=56dee238eaa193.55143268&grantRef=MR%2FJ011134%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/J011134/1","1855ECEA-F12D-4F6C-81CC-83BFF1DCA95D","C008C651-F5B0-4859-A334-5F574AB6B57C","D5337A10-AC8A-402A-8164-C5F9CC6B0140","88BFEA76-EA0B-4243-BF93-412228049163"
"MRC","MR/R014132/1","Research Grant","Products Interventions & Clinical Trials","University of Oxford","Surgical Sciences","Ploeg","Rutger","http://orcid.org/0000-0001-7801-665X","SIGNET","Therapeutic Intervention - Drug","Early clinical assessment","",,"2021","Under active development/distribution","The SIGNET study opened to recruitment in September 2021. 

SIGNET will be the largest randomised controlled trial in organ donation, positioned perfectly to coordinate the unique strengths of the UK NHS infrastructure. It will evaluate the benefits of Simvastatin given to organ donors on outcomes in organ recipients.

There is evidence that Simvastatin, a safe and commonly used drug, might limit the damage sustained by a donor's heart before it is transplanted.

This drug has not been tested in large scale trials that assess outcomes important to patients. 

The SIGNET study will evaluate the benefits of a single dose of Simvastatin given to potential organ donors declared dead by neurological criteria on outcomes in organ recipients.","The Statins for Improving orGaN outcome in Transplantation (SIGNET) trial is a single blinded, randomised controlled trial of Simvastatin in organ donors.

It will recruit 2,600 patients after the diagnosis of death by neurological criteria. A single dose of Simvastatin will be given after consent from the donor's family.

The primary outcome is a composite of death, use of renal replacement therapy or mechanical cardiac support in cardiac recipients at 28 days. There are secondary clinical end points for other organ transplants as well as organ utilisation.

The SIGNET study will be the largest global RCT ever performed in organ donation.",,"622f71f738b637.44813083","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=622f71f738b637.44813083&grantRef=MR%2FR014132%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/R014132/1","8BF7C5D0-6285-4CBF-BD66-882392692CB9","C008C651-F5B0-4859-A334-5F574AB6B57C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","D7BAB1AC-8BC2-4644-AA4B-17794158206B"
"MRC","MC_PC_13037","Research Grant","Products Interventions & Clinical Trials","University College London",,,,"","VSN16R","Therapeutic Intervention - Drug","Early clinical assessment","Yes","QLON-2013-VSN16R-001","2014","Under active development/distribution","We have invented a new treatment for spasticity in multiple sclerosis and have recently (June 2014) completed the phase I studies and reproductive toxicology for this drug. This drug has the potential to become the standard of care for the treatment of muscle spasticity in MS with fewer and less severe side effects for patients than current drugs. In particular earlier treatment should be achievable, countering the onset of disability and allowing a normal life to be sustained for longer. We are now actively seeking additional funds to enable the clinical proof of concept phase IIa study in MS patients. This study will be conducted in the University College Hospital (UCH), London, with first recruitment expected in 2015. This drug is now ready for a phase II clinical study. The most recent principle source of funding for this development was the TSB grant (this project submission).","Wide use of mostly UK based clinical and pre-clinical contract research organisations, direct spend of the grant money in these organisations stimulating economic activity. 
Building research expertise in UK universities. 
Building clinical expertise in the treatment of MS.","http://www.canbex.co.uk/","54623b73c66347.25607486","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=54623b73c66347.25607486&grantRef=MC_PC_13037","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_PC_13037","258A5986-E4FD-43DF-BD75-F6E474B6D0AB","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83",
"MRC","1853003","Studentship","Products Interventions & Clinical Trials","University of Leicester","Genetics",,,"","HRA approved Trial: Pollution and Health: The allocation of resources dilemma. Evidence from the University Hospitals of Leicester NHS Trust.","Health and Social Care Services","Early clinical assessment","Yes","REC reference: 19/LO/1465","2019","Under active development/distribution","Study Title Pollution and Health: The allocation of resources dilemma. Evidence from the University Hospitals of Leicester NHS Trust. (Acronym PHN)
Trial Design Study limited to working with data
Planned Sample Size Convenience sample based on the data available from UHL NHS trust
Planned Trial Period 1 years 11 months 31 days
Primary Objective This project aims to analyse the impact of pollution on the economic costs of public healthcare in Leicester.
Secondary Objectives (1) How much of the cost of operating emergency rooms is explained by air pollution? (2) How much of the cost of attending emergency rooms per individual is attributable to air pollution?","we are still in the process of data analysis",,"5e5e2a9b7ba513.02134756","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5e5e2a9b7ba513.02134756&grantRef=1853003","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=1853003","B72EA6AD-CBF3-427B-968A-6A2E7AB87AB3","C008C651-F5B0-4859-A334-5F574AB6B57C","C842A34F-18F7-454D-A259-FED802368496",
"MRC","MR/T023562/1","Research Grant","Products Interventions & Clinical Trials","University College London","Institute for Global Health","Fottrell","Edward","http://orcid.org/0000-0003-0518-7161","DClare PLA Intervention","Preventative Intervention - Behavioural risk modification","Early clinical assessment","Yes",,"2021","Under active development/distribution","Building on work from the DMagic trial, and in response to contextual changes related to the COVID-19 pandemic, we have adapted the participatory learning and action community mobilisation intervention to reduce diabetes risk and occurrence. The nature of the intervention remains the same, i.e. monthly facilitated group meetings for community members to identify, discuss and respond to local threats to their health. Adaptations relate to the duration of intervention and delivery to adhere with COVID-safe guidelines. A cluster randomised trial is underway.","Due to necessary adaptations in response to COVID-19, we are developing important understandings of implementation and sustainability of the intervention.",,"6221048de38a41.60699628","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=6221048de38a41.60699628&grantRef=MR%2FT023562%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/T023562/1","122781FC-5E88-4E7A-9FB8-89F1B06509F7","C008C651-F5B0-4859-A334-5F574AB6B57C","3A5E126D-C175-4730-9B7B-E6D8CF447F83","733285DD-8CD0-4A2A-BDF8-7AAEB8CB7150"
"MRC","MC_U117588499","Intramural","Products Interventions & Clinical Trials","MRC National Inst for Medical Research",,"Wilkinson","Robert","","A phase IIb, double-blind, randomised, placebo-controlled study to evaluate the efficacy, safety and immunogenicity of GSK Biologicals' candidate tuberculosis (TB) vaccine GSK 692342 against TB disease, in adults aged 18-50 years, living in a TB endemic region","Therapeutic Intervention - Vaccines","Late clinical evaluation","Yes","PACTR201311000639144","2018","Closed","BACKGROUND
Results of an earlier analysis of a trial of the M72/AS01E candidate vaccine against Mycobacterium tuberculosis (Van Der Meeren et al. NEJM 2018) showed that in infected adults, the vaccine provided 54.0% protection against active pulmonary tuberculosis disease, without evident safety concerns. We now report the results of the 3-year final analysis of efficacy, safety, and immunogenicity.
METHODS
From August 2014 through November 2015, we enrolled adults 18 to 50 years of age with M. tuberculosis infection (defined by positive results on interferon-? release assay) without evidence of active tuberculosis disease at centers in Kenya, South Africa, and
Zambia. Participants were randomly assigned in a 1:1 ratio to receive two doses of either M72/AS01E or placebo, administered 1 month apart. The primary objective was to evaluate the efficacy of M72/AS01E to prevent active pulmonary tuberculosis disease according to the first case definition (bacteriologically confirmed pulmonary tuberculosis not associated with human immunodeficiency virus infection). Participants were
followed for 3 years after the second dose. Participants with clinical suspicion of tuberculosis provided sputum samples for polymerase-chain-reaction assay, mycobacterial culture, or both. Humoral and cell-mediated immune responses were evaluated until month 36 in a subgroup of 300 participants. Safety was assessed in all participants who received at least one dose of M72/AS01E or placebo.
RESULTS
A total of 3575 participants underwent randomization, of whom 3573 received at least one dose of M72/AS01E or placebo, and 3330 received both planned doses. Among the 3289 participants in the according-to-protocol efficacy cohort, 13 of the 1626 participants in the M72/AS01E group, as compared with 26 of the 1663 participants in the placebo group, had cases of tuberculosis that met the first case definition (incidence, 0.3 vs. 0.6 cases per 100 person-years). The vaccine efficacy at month 36 was 49.7% (90% confidence interval [CI], 12.1 to 71.2; 95% CI, 2.1 to 74.2). Among participants in the M72/AS01E group, the concentrations of M72-specific antibodies and the frequencies of M72-specific CD4+ T cells increased after the first dose and were sustained throughout the follow-up period. Serious adverse events, potential immune-mediated diseases, and deaths occurred with similar frequencies in the two groups.
CONCLUSIONS
Among adults infected with M. tuberculosis, vaccination with M72/AS01E elicited an immune response and provided protection against progression to pulmonary tuberculosis disease for at least 3 years.","Van Der Meeren, O., Hatherill, M., Nduba, V., Wilkinson, R.J., Muyoyeta, M., Van Brakel, E., Ayles, H.M., Henostroza, G., Thienemann, F., Scriba, T.J., Diacon, A., Blatner, G.L., Demoiti&eacute;, M-A., Tameris, M., Malahleha, M., Innes, J.C., Hellstrom, E., Martinson, N., Singh, T., Akite, E.J., Azam, A.K., Bollaerts, A., Ginsberg, A.M., Evans, T.G., Gillard, P., Tait, D.R. Phase 2b Controlled Trial of M72/AS01E Vaccine to Prevent Tuberculosis New England Journal of Medicine (2018) 379:1621-1634 PMID 30280651 PMCID PMC6151253

Tait, D.R., Hatherill, M., Van Der Meeren, O., Ginsberg, A.M., Van Brakel, E., Salaun, B., Scriba, T.J., Akite, E.J., Ayles, H.M., Bollaerts, A., Demoiti&eacute;, M-A., Diacon, A., Evans, T.G., Gillard M.D., Hellstr?m, E., Innes, J.C., Lempicki, M., Malahleha, M., Martinson, N., Vela, D.M., Muyoyeta, M., Nduba, V., Pascal, T., Tameris, M., Thienemann, F., Wilkinson, R.J., Roman, F. (shared senior authorship) Final Analysis of a Trial of M72/AS01E Vaccine to Prevent Tuberculosis. New England Journal of Medicine (2019) 381:2429-2439 PMID 31661198","https://clinicaltrials.gov/show/NCT01755598","5aa7efed738df2.38403670","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5aa7efed738df2.38403670&grantRef=MC_U117588499","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_U117588499","DC6BFAFB-A664-45D4-BBE4-D21425685BB1","C008C651-F5B0-4859-A334-5F574AB6B57C","02ECE3B0-F864-4593-BCE9-348E204E2058","06275759-9B2A-4F0A-93EE-547BA553E01A"
"MRC","MR/K006533/1","Research Grant","Products Interventions & Clinical Trials","Liverpool School of Tropical Medicine","Clinical Sciences","Gordon","Stephen","http://orcid.org/0000-0001-6576-1116","Advanced cook stove","Therapeutic Intervention - Medical Devices","Market authorisation","",,"2008","Actively seeking support","Clean cook stoves offer the potential to reduced household air pollution and save lives. There are 200 untested stoves on the market, with varying efficacy in reducing HAP, and unknown effectiveness to improve health.","Can be used to charge phones, give light and generally reduced household energy poverty.",,"545cb75892ade3.08017044","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=545cb75892ade3.08017044&grantRef=MR%2FK006533%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/K006533/1","8E08BE57-679E-4327-9F3C-7F3224C3BFAA","C008C651-F5B0-4859-A334-5F574AB6B57C","3ED60B49-9C2B-4D71-B644-96CCC7F10194","02405512-3310-4E12-AF21-E7777A3BEA1B"
"MRC","MC_G0900868","Intramural","Products Interventions & Clinical Trials","Cardiff University",,"Morgan","Bryan","","Small molecule antagonists at the TrkA receptor for the treament of pain","Therapeutic Intervention - Drug","Initial development","",,"2011","Actively seeking support","&quot;Nerve growth factor (NGF) is a key mediator in neuropathic and inflammatory pain. We have shown that sequestration of NGF abrogates pain in many conditions. Antagonism of the NGF/TrkA (tyrosine kinase receptor A) interaction will have similar benefits, and we have identified and validated the NGF binding domain of TrkA (TrkAIg2) as a target. We identified different classes of TrkA antagonists in silico; which have been confirmed in vitro. One compound was used for the rational design and synthesis of a series of low molecular weight, high affinity compounds. We have identified residues on the isolated TrkAIg2 which interact with compounds tested using protein nuclear magnetic resonance (NMR) analysis. Our established interdisciplinary team has expertise in biochemistry, NMR, molecular modelling, synthetic chemistry and in vivo validation. We plan to develop these compounds further towards entry into clinical trials as moderators of intractable pain states such as osteoarthritis and post-operative pain

Most recent work supported by DPFS Portfolio Award&quot;","TBC",,"qMiB9rssrbS","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=qMiB9rssrbS&grantRef=MC_G0900868","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_G0900868","A7EDF86D-716A-4C37-8325-1C2B70DFB2AF","C008C651-F5B0-4859-A334-5F574AB6B57C","9C10D78F-6430-4CA7-9528-B96B0762A4C6","E8679824-FDB5-4146-9552-1FE7281A8ACF"
