"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_390","characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","decarbonisation","1"
"ERO_391","refuelhub: development of renewable thermochemical particulates fuelled community-scale thermal hubs and their integration into the existing district heating networks for heating and cooling decarbonisation","decarbonisation","1"
"ERO_392","inclusive decarbonisation and energy transition","decarbonisation","1"
"ERO_393","decarbonisation through smart hybrid transformers","decarbonisation","1"
"ERO_394","synenergy: characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","decarbonisation","1"
"ERO_395","decarbonisation pathways for cooling and heating (dispatch)","decarbonisation","1"
"ERO_396","decarbonisation pathways for cooling and heating (dispatch)","decarbonisation","1"
"ERO_397","industry decarbonisation research and innovation champion of uk","decarbonisation","1"
"ERO_398","low cost pathways for deep decarbonisation of electricity and heating through coordinated thermal storage","decarbonisation","1"
"ERO_402","characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","decarbonisation","1"
"ERO_410","synenergy: characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","decarbonisation","1"
"ERO_345","heat accumulation from renewables with valid energy storage and transformation - harvest","energy storage","1"
"ERO_390","characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","energy storage","1"
"ERO_394","synenergy: characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","energy storage","1"
"ERO_399","design and engineering of advanced ion-selective membranes for low-cost flow-battery energy storage (ionflow)","energy storage","1"
"ERO_400","exergy3: using a novel ultrahigh temperature thermal energy storage technology to convert existing thermal power plants to zero carbon energy storage system,","energy storage","1"
"ERO_401","evaluation of highdensity ballast behaviour for novel grid-scale energy storage applications.","energy storage","1"
"ERO_402","characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","energy storage","1"
"ERO_403","data-driven exploration of the carbon emissions impact of grid energy storage deployment and dispatch","energy storage","1"
"ERO_404","an adsorption-compression cold thermal energy storage system (access)","energy storage","1"
"ERO_405","balancing and inter-seasonal geological energy storage for integrated grid scale delivery of hydrogen","energy storage","1"
"ERO_406","balancing and inter-seasonal geological energy storage for integrated grid scale delivery of hydrogen","energy storage","1"
"ERO_407","subsurface thermal energy storage: engineered structures and legacy mine shafts","energy storage","1"
"ERO_408","heat accumulation from renewables with valid energy storage and transformation - harvest","energy storage","1"
"ERO_409","reflow - resilient, network-friendly and low-cost wecs through pto-integrated energy storage","energy storage","1"
"ERO_410","synenergy: characterisation of synergies in subsurface energy storage technologies to support energy systems decarbonisation","energy storage","1"
"ERO_411","large-scale energy storage","energy storage","1"
"ERO_412","a feasibility study for a hydrogen hybridized energy storage system","energy storage","1"
"ERO_413","a feasibility study for a hydrogen hybridized energy storage system","energy storage","1"
"ERO_414","a feasibility study for a hydrogen hybridized energy storage system","energy storage","1"
"ERO_415","ministor: minimal size thermal and electrical energy storage system for in-situ residential installation","energy storage","1"
"ERO_416","thermoplastic fibre-metal laminates for structural and energy storage applications (metcomp)","energy storage","1"
"ERO_417","impact of interconnection on the value of short-term operation of energy storage","energy storage","1"
"ERO_418","predicting domestic energy demand patterns from historic data, for management of local energy storage","energy storage","1"
"ERO_419","energy storage for low carbon grids","energy storage","1"
"ERO_9","project amaulik: exploring seabird-harvester-climate interactions to ensure inuit food security in the face of climate change","food security","1"
"ERO_174","protecting coral reef fisheries through economic development and diversified food security","food security","1"
"ERO_182","protecting coral reef fisheries through economic development and diversified food security","food security","1"
"ERO_420","project amaulik: exploring seabird-harvester-climate interactions to ensure inuit food security in the face of climate change","food security","1"
"ERO_421","quantifying the impact of the covid-19 pandemic on agriculture, food security, and diet quality in india","food security","1"
"ERO_422","ensuring food security in brazilian favelas in the wake of the covid-19 pandemic: prioritization policies for food delivery","food security","1"
"ERO_423","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_424","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_425","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_426","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_427","field network: food security lntelligence & evidence-based interventions for sustainable local development and planetary health resilience in syria","food security","1"
"ERO_428","field network: food security lntelligence & evidence-based interventions for sustainable local development and planetary health resilience in syria","food security","1"
"ERO_429","plastic debris impact on fish health, an issue for food security and food safety: focus on digestive, cardiovascular and reproductive abnormalities using molecular and microscopic studies","food security","1"
"ERO_430","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_431","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_432","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_433","aluminium-toxicity tolerant chickpea for enhanced food security in ethiopia","food security","1"
"ERO_434","food for the future: youth empowerment for food security and sustainable livelihoods in malawi","food security","1"
"ERO_435","knowledge and skills development for food security enhancement among syrian academics and practitioners","food security","1"
"ERO_436","the adapted use of brackish water as a sustainable resource for food security","food security","1"
"ERO_437","cultures of expertise: academics in exile and their role in the future food security agenda for syria.","food security","1"
"ERO_438","cultures of expertise: academics in exile and their role in the future food security agenda for syria.","food security","1"
"ERO_439","a chilling effect on food security policy? the world trade organization, public food stockholding and legal uncertainty","food security","1"
"ERO_440","developing a “futures toolkit” for food security in syria","food security","1"
"ERO_441","soy-ubuntu optimising nutrition, food security and income generation","food security","1"
"ERO_442","protecting coral reef fisheries through economic development and diversified food security","food security","1"
"ERO_1004","protecting coral reef fisheries through economic development and diversified food security","food security","1"
"ERO_1286","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1287","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1288","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1289","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1294","field network: food security lntelligence & evidence-based interventions for sustainable local development and planetary health resilience in syria","food security","1"
"ERO_1295","field network: food security lntelligence & evidence-based interventions for sustainable local development and planetary health resilience in syria","food security","1"
"ERO_1301","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1302","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1303","from the field: impacts of covid-19 on food security interventions (and lived experiences) for sustainable local development in nw syria and turkey","food security","1"
"ERO_1309","food for the future: youth empowerment for food security and sustainable livelihoods in malawi","food security","1"
"ERO_1331","the adapted use of brackish water as a sustainable resource for food security","food security","1"
"ERO_443","restores: nature based solutions to treat persistent mobile chemicals","nature based","1"
"ERO_444","restores: nature based solutions to treat persistent mobile chemicals","nature based","1"
"ERO_445","resonate: forest restoration as a nature based technology for negative emissions","nature based","1"
"ERO_31","how do climate change shocks propagate through the global macroeconomy?","eco","1"
"ERO_46","ibiome: measuring the effect of land use and climate change on ecosystem service delivery potential across tropical south america","eco","1"
"ERO_55","dr shivani agarwal - socio-ecological impacts of conflicting forest policies in india and challenges to mitigate climate change through afforestation programs","eco","1"
"ERO_63","landscapes (france) as carbon sinks co-design phase - land ecosystem in france - climate kic 19","eco","1"
"ERO_67","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_68","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_69","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_74","refresh: rejuvenation of exhausted farmland for cleaner ecosystems and enhanced biodiversity","eco","1"
"ERO_86","madagascar savanna ecology for conservation and livelihoods","eco","1"
"ERO_101","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","eco","1"
"ERO_102","raptor health as an indicator of ecosystem health: development of novel surveillance tools for conservation","eco","1"
"ERO_103","golden eagle health as an indicator of ecosystem health: development of novel surveillance tools for conservation","eco","1"
"ERO_114","tap to trench investigation of microplastic fibres transport from wastewaters to effects in deep sea organisms and ecosystems (tap2trench)","eco","1"
"ERO_130","marieco: ocean plastic pollution on marine ecosystems of south east asia: characterising sources and identification of impacts and mitigation measures","eco","1"
"ERO_133","plastic pollution - mitigating the impact through circular economy (solution)","eco","1"
"ERO_145","air pollution exposure changes and impact on respiratory health and education: a population-wide record-linked longitudinal study","eco","1"
"ERO_173","the role of coralliths in coral reef recovery and expansion","eco","1"
"ERO_174","protecting coral reef fisheries through economic development and diversified food security","eco","1"
"ERO_181","the role of coralliths in coral reef recovery and expansion","eco","1"
"ERO_182","protecting coral reef fisheries through economic development and diversified food security","eco","1"
"ERO_205","technoeconomically optimal & environmentally benign pharmaceutical manufacturing at high process mass intensity (pmi)","eco","1"
"ERO_210","environmental sustainability and economic cooperation in the longue duree: a comparative approach to locality, history and development","eco","1"
"ERO_221","eco-beef uk: improving the economical and environmental sustainability of uk beef breeds","eco","1"
"ERO_223","social, economic and environmental entanglements in the digital economy","eco","1"
"ERO_225","a tapestry of treescapes: weaving the cultural, socio-economic and environmental value of trees for a zero carbon and biodiverse future","eco","1"
"ERO_244","ecoloc: unlocking the environmental sustainability of point-of-care medical and lab-on-chip microcomponents","eco","1"
"ERO_247","poverty in rural africa and its relationships with environmental resources and ecosystem services","eco","1"
"ERO_260","ecology of listeria virulence - a pilot study on l. monocytogenes environmental distribution and natural reservoirs of foodborne listeriosis","eco","1"
"ERO_263","from genetic sequence to phenotypic consequence: genetic and environmental links between cognitive ability, socioeconomic position, and health","eco","1"
"ERO_268","environmental influences on stillbirth: a population record linkage study in scotland","eco","1"
"ERO_270","environmental and economic impacts of improved antibiotics stewardship in poultry systems","eco","1"
"ERO_279","integrating the delivery of ecosystem services and urban liveability: legitimacy, equity and justice in urban environmental initiatives","eco","1"
"ERO_292","towards environmental reconciliation in páramo land in boyacá: resolving ecosystem trade-offs in post-conflict spaces","eco","1"
"ERO_314","financing circular economy innovation","eco","1"
"ERO_315","a bio-enabled circular economy for critical metals","eco","1"
"ERO_316","squaring the circular economy: accelerating negative co2 emissions in the waste to energy sector with ccs","eco","1"
"ERO_317","trace: tri-territorial regional algae-based circular economy","eco","1"
"ERO_318","cetmac   - circular economy techniques for materials and construction.","eco","1"
"ERO_319","plastic pollution - mitigating the impact through circular economy (solution)","eco","1"
"ERO_320","circular economy centre for engineering material flows in transport systems (cets2)","eco","1"
"ERO_321","protein resources in the circular economy (price)","eco","1"
"ERO_322","protein resources in the circular economy (price)","eco","1"
"ERO_323","living business cases for circular entrepreneurship - shaping the mind-set and developing skills of change agents in the transition towards a circular economy - climate-kic 19","eco","1"
"ERO_324","circular economy matchmaking using the deep neural networks ai approach to fastrack improvements in circularity","eco","1"
"ERO_325","a circular economy approach towards water purification with concomitant biooil production through yeast-algal biorefinery and tailor-made biochar","eco","1"
"ERO_326","relib - faraday challenge fast track proposal - circular economy","eco","1"
"ERO_327","faraday challenge: delivering a circular economy in batteries","eco","1"
"ERO_344","futureconv: advanced converter control for 100% renewable power systems","eco","1"
"ERO_346","hydrogen economy in scotland through offshore renewable energy","eco","1"
"ERO_351","a high efficiency rov designed for the offshore renewables and decommissioning sectors and limiting personnel interactions","eco","1"
"ERO_355","socio-techno-economic pathways for hydrogen production by offshore renewables and geological storage to provide decarbonised heating","eco","1"
"ERO_356","socio-techno-economic pathways for hydrogen production by offshore renewables and geological storage to provide decarbonised heating","eco","1"
"ERO_365","eco2-refuel: electroreduction of co2 to renewable fuels","eco","1"
"ERO_366","eco2-refuel: electroreduction of co2 to renewable fuels","eco","1"
"ERO_372","multiscale techno-economic modelling of high renewable power system strategies for low-carbon transition and co-benefit aware cooperation in central asia","eco","1"
"ERO_375","economical and reliable sfcl for future renewable power network","eco","1"
"ERO_442","protecting coral reef fisheries through economic development and diversified food security","eco","1"
"ERO_446","tree_planat: stakeholder perceptions and socio-ecological consequences of treescape expansion through planting and natural colonisation","eco","1"
"ERO_447","direct inference of recombination landscapes from single individuals","eco","1"
"ERO_448","heroes of the klan war: fighting white supremacist terrorism during reconstruction - silkenat","eco","1"
"ERO_449","ascertainment of asthma outcomes from electronic prescribing health records","eco","1"
"ERO_450","digital learning in uk secondary schools closing the gap: strategic leadership for digital learning and inclusion in a post-covid era","eco","1"
"ERO_451","madagascar savanna ecology for conservation and livelihoods","eco","1"
"ERO_452","cell autonomous and non-autonomous molecular pathways for recovery upon cag/ctg repeat  contraction in huntington’s disease","eco","1"
"ERO_453","the making of men and women in jordan: ecologies of subjectivity, violence, and mental health","eco","1"
"ERO_454","evaluation on the management of therapy in primary and secondary prevention of cardiovascular disease: an analysis from the prevent-cvd registry","eco","1"
"ERO_455","improving estimates of antartic krill predation by antarctic fur seals to inform ecosystem-based management of south georgia fisheries","eco","1"
"ERO_456","computer assisted recognition of paget’s disease of the bone (carp)","eco","1"
"ERO_457","towards an agile global economic order","eco","1"
"ERO_458","financing circular economy innovation","eco","1"
"ERO_459","decolonising surrealist collections","eco","1"
"ERO_460","temporal, aspectual and modal representations in second language acquisition","eco","1"
"ERO_461","mining the archaeological record in galaxy outskirts","eco","1"
"ERO_462","development of ‘super-resolution’ distributed  sensing techniques for detection, localisation, tracking and recognition of entities of interest","eco","1"
"ERO_463","optimising recovery of genomes from metagenomes via scalable multi-coverage metagenomic binning","eco","1"
"ERO_464","bio-enabled reduction, recovery and recycling of critical and technology metals","eco","1"
"ERO_465","linkage of genetic records and routinely-acquired data to understand the health of individuals with rare genetic conditions","eco","1"
"ERO_466","linkage of genetic records and routinely-acquired data to understand the health of individuals with rare genetic conditions","eco","1"
"ERO_467","opensafely, isaric, phosp: tracking consequences of covid-19 infection across uk primary and secondary care","eco","1"
"ERO_468","using secondary data to examine whether a programme of physical and social interventions in urban forests enhances community health and wellbeing","eco","1"
"ERO_469","cost-efficient, lightweight and eco-friendly designs and production methods for multiscale hybrid composite parts","eco","1"
"ERO_470","digital tools to support end-of-life recovery","eco","1"
"ERO_471","finding the low hanging fruits in arable farms: improving ecosystem and economic benefits through land use spatial reconfigurations","eco","1"
"ERO_472","biochar devices for water decontamination and pollutants detection","eco","1"
"ERO_473","biochar devices for water decontamination and pollutants detection","eco","1"
"ERO_474","scales of ecosystem assembly in the seas: competition, advection, physiology and evolution","eco","1"
"ERO_475","sophie haines - rse- personal research fellowships -the nature of the future: anticipating sustainable ecologies and economies in the caribbean/central america","eco","1"
"ERO_476","lt research project grant -  stage 2- the political economy of knowledge-based growth","eco","1"
"ERO_477","a bio-enabled circular economy for critical metals","eco","1"
"ERO_478","using artificial intelligence to identify people with rare diseases in large-scale linked electronic health records in order to support public health decision-making.","eco","1"
"ERO_479","edecode - edinburgh defence centre for data research","eco","1"
"ERO_480","edecode - edinburgh defence centre for data research","eco","1"
"ERO_481","edecode - edinburgh defence centre for data research","eco","1"
"ERO_482","edecode - edinburgh defence centre for data research","eco","1"
"ERO_483","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_484","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_485","developing & piloting biodiversity footprinting & natural capital accounting via a 'beehive' of sectoral hubs,  for sustainable transition to a circular eu bioeconomy","eco","1"
"ERO_486","a technological, organisational, behaviourral, and motivational intervention to reduce asthma attacks (tobermorae), cluster randomised controlled trial including process and health economic evaluation of team facilitation enabled technology in primary care","eco","1"
"ERO_487","the kids are alright: reconstructing reproductive strategies in early mammals","eco","1"
"ERO_488","psychosis recovery orientation in malawi by improving services and engagement","eco","1"
"ERO_489","nationalism and ecology: women’s participation and the hindu-right in the india-bangladesh  borderland","eco","1"
"ERO_490","nationalism, ecology, & women’s participation in hindu-right","eco","1"
"ERO_491","alienation and recognition in theory and in practice","eco","1"
"ERO_492","dynamicnet: unravelling the interplay between endothelial cell dynamics and optimised blood cell transport, and how it becomes dysregulated in tumours","eco","1"
"ERO_493","dynamicnet: unravelling the interplay between endothelial cell dynamics and optimised blood cell transport, and how it becomes dysregulated in tumours","eco","1"
"ERO_494","dynamicnet: unravelling the interplay between endothelial cell dynamics and optimised blood cell transport, and how it becomes dysregulated in tumours","eco","1"
"ERO_495","antiplatelet secondary prevention international randomised trial after intracerebral haemorrhage aspiring","eco","1"
"ERO_496","antiplatelet secondary prevention international randomised trial after intracerebral haemorrhage aspiring","eco","1"
"ERO_497","the new data economies of social enterprise","eco","1"
"ERO_498","supporting people in recovery from problematic alcohol and drug use to cut down or stop smoking: development and feasibility testing of a tobacco harm reduction intervention","eco","1"
"ERO_499","ventilation strategies in covid-19; cpap, high-flow, and standard care: recovery supportive care","eco","1"
"ERO_500","after law: societal recovery, plurality, and the untapped potential of the international criminal tribunal for rwanda archives","eco","1"
"ERO_501","how life got moving: reconstructing and re-evolving the bacterial flagellar motor, piece-by-piece","eco","1"
"ERO_502","what determines the virome: ecology and the environment, evolution, or species history?","eco","1"
"ERO_503","ai for next-generation cell factories and the net zero economy","eco","1"
"ERO_504","low regularity dynamics via decorated trees","eco","1"
"ERO_505","ftma 3: phylogeny and admixture in kenyan chicken ecotypes","eco","1"
"ERO_506","ribosomebased functions of the smn protein: from fundamental biology to second-generation therapies for sma","eco","1"
"ERO_507","technoeconomically optimal & environmentally benign pharmaceutical manufacturing at high process mass intensity (pmi)","eco","1"
"ERO_508","using ecological momentary assessment to improve diagnosis, assessment, and treatment for core difficulties associated with adhd in adolescence","eco","1"
"ERO_509","intersectional and lifecourse approaches to later life inclusivity for roma, gypsy and traveller communities in scotland, ireland and england","eco","1"
"ERO_510","early cachexia identification and prevention (eachip) - identifying patients with lung or pancreatic cancer at risk of cachexia by applying novel ai on primary and secondary care data","eco","1"
"ERO_511","aukcar (asthma uk centre for applied research) phase 2 studentship –‘ machine learning-based prognostic models for improved asthma management using uk-wide electronic health records’","eco","1"
"ERO_512","socio-ecological landscape dynamics in the headwaters of the okavango - studentship - christopher andrews","eco","1"
"ERO_513","idg 2021 - 23 - capability- economic analysis","eco","1"
"ERO_514","become a hydrogen research coordinator","eco","1"
"ERO_515","can [18f]lw223, a superior tspo pet radiotracer, become a clinical breakthrough for detection of regional tissue inflammation?","eco","1"
"ERO_516","can [18f]lw223, a superior tspo pet radiotracer, become a clinical breakthrough for detection of regional tissue inflammation?","eco","1"
"ERO_517","can [18f]lw223, a superior tspo pet radiotracer, become a clinical breakthrough for detection of regional tissue inflammation?","eco","1"
"ERO_518","flr@scale - delivering 21st century ecosystem restoration at continental scales","eco","1"
"ERO_519","pathways of resilience and evasion of tipping in ecosystems","eco","1"
"ERO_520","get your rocks off: an interdisciplinary exploration into drug residue recovery from jewellery","eco","1"
"ERO_521","using ice-flow modelling and internal structure to decode the history of the west antarctic ice sheet","eco","1"
"ERO_522","financial services networkplus for good (finnet4good+): technology-driven and challenge-focused innovation for socio-economic impact","eco","1"
"ERO_523","amplify- amplifying deep and open ocean benthic ecosystems","eco","1"
"ERO_524","climate and ecosystems impacts of reactive nitrogen emissions from pakistan","eco","1"
"ERO_525","the politics of urban infrastructural labour in green recoveries","eco","1"
"ERO_526","radioactive molecules for nuclear physics research: development of a stopping and recoil cell","eco","1"
"ERO_527","implementing multifunctional agroecological solutions in european farming","eco","1"
"ERO_528","environmental sustainability and economic cooperation in the longue duree: a comparative approach to locality, history and development","eco","1"
"ERO_529","decolonising improvisation","eco","1"
"ERO_530","facilitating health and wellbeing by developing systems for early recognition of urinary tract infections - feather","eco","1"
"ERO_531","covern: co-governance for the data-driven economy","eco","1"
"ERO_532","musicians designing and performing intermedia works: a method to becoming fully oneself for the benefit of society","eco","1"
"ERO_533","a multi-dimensional perspective on teaching children's literature in the second language classroom: using a participatory and empowering approach","eco","1"
"ERO_534","decode long covid: a community-based extension to genomicc & decodeme","eco","1"
"ERO_535","decode long covid: a community-based extension to genomicc & decodeme","eco","1"
"ERO_536","inhospitable modernisms: the ecological value of modernist alienation","eco","1"
"ERO_537","emerging stronger from a crisis: developing inclusive ecosystems and levelling up","eco","1"
"ERO_538","liquidityup - addressing the shortfall in investment into the uks regions’ smes through implementation of an integrated digital platform providing for improved liquidity through tokenisation of assets and direct provision of a secondary market.","eco","1"
"ERO_539","an open source platform for real-time neural spike sorting, decoding and closed loop control","eco","1"
"ERO_540","unified end-to-end speech enhancement and automatic speech recognition","eco","1"
"ERO_541","prevent dementia eco (edinburgh, cambridge, oxford) wave 3","eco","1"
"ERO_542","empower-d (equitable mobilisation of power and opportunities with education and rights in the digital economy)","eco","1"
"ERO_543","empower-d (equitable mobilisation of power and opportunities with education and rights in the digital economy)","eco","1"
"ERO_544","identifying patients at high risk of cachexia based on discrete values and discovery of new clinicopathological features from primary and secondary care data including textual notes","eco","1"
"ERO_545","21engbio: development of techniques for improved biorecovery of metals from lithium-ion batteries","eco","1"
"ERO_546","the social, cultural and economic impacts of the pandemic on ethnic and racialised groups in the uk","eco","1"
"ERO_547","symptomappsvd - app system to record symptoms of small vessel disease","eco","1"
"ERO_548","decolonising the museum: digital repatriation of the gaidinliu collection from the uk to india (dimuse)","eco","1"
"ERO_549","decentering gender dysphoria: reconceptualizing and rephrasing transgender experiences","eco","1"
"ERO_550","visitor management tool - skyeconnect","eco","1"
"ERO_551","resolving the cryptic early fossil record of fungi","eco","1"
"ERO_552","remediating stevenson: decolonising robert louis stevenson's pacific fiction through graphic adaptation, arts education and community engagement","eco","1"
"ERO_553","remediating stevenson: decolonising robert louis stevenson's pacific fiction through graphic adaptation, arts education and community engagement","eco","1"
"ERO_554","festivals 2022: hybrid events and the post-covid experience economy","eco","1"
"ERO_555","the economic burden of covid-19 on cancer care: understanding the displacement of resources and their cost and identifying best practice solutions","eco","1"
"ERO_556","xr network+ : virtual production in the digital economy","eco","1"
"ERO_557","creait+:  digital economy networkplus in responsible creative ai","eco","1"
"ERO_558","an intervention to improve recovery after an episode of delirium: a randomised controlled trial","eco","1"
"ERO_559","experimental investigation of genetic risk factors for me/cfs revealed by the decodeme project","eco","1"
"ERO_560","enhanced nutrient recovery from potato peel (enrepp)","eco","1"
"ERO_561","enhanced nutrient recovery from potato peel (enrepp)","eco","1"
"ERO_562","en route to recovery: diversity and vulnerability in care work during and after the covid-19 pandemic","eco","1"
"ERO_563","sages: systems approach for greener, eco-efficient and sustainable mineral resource management in the philippines","eco","1"
"ERO_564","the adaptation of an ancient mixtec pictorial text to a contemporary film: developing decolonial approaches","eco","1"
"ERO_565","palaeomagnetic records of fault-zone stresses","eco","1"
"ERO_566","service innovation and productivity in the hospitality, tourism, and travel industries in the uk japan: covid-19 crisis, local ecosystems, and recovery scenarios","eco","1"
"ERO_567","remaking one health: decolonial approaches to street dogs and rabies prevention in india","eco","1"
"ERO_568","work that works for displaced women: syrian refugees and the gig economy in sofia, bulgaria","eco","1"
"ERO_569","enriching exhibition scholarship: reconciling knowledge graphs and social media from newspaper articles to twitter","eco","1"
"ERO_570","towards explainable and verifiable goal recognition for trustworthy autonomous systems","eco","1"
"ERO_571","getting nice-recommended mental health treatments to young people in care: a crosssector implementation and effectiveness trial of trauma-focused cbt","eco","1"
"ERO_572","defining mechanisms of chemotherapy-induced ovarian damage and the potential for recovery","eco","1"
"ERO_573","understanding the cell biology of bacterial dna repair: why does homologous recombination finish at the cell centre?","eco","1"
"ERO_574","a participatory data platform and innovation ecosystem to transform the uk food system","eco","1"
"ERO_575","adaptation and self-recovery solutions for housing flooding resilience in ghana","eco","1"
"ERO_576","ecocinematics: cinematic storytelling for sustainable futures: narratives, aesthetics and modes of production","eco","1"
"ERO_577","unifai: a unifying ecosystem for analysis of plant imaging data with artificial intelligence","eco","1"
"ERO_578","unifai: a unifying ecosystem for analysis of plant imaging data with artificial intelligence","eco","1"
"ERO_579","squaring the circular economy: accelerating negative co2 emissions in the waste to energy sector with ccs","eco","1"
"ERO_580","communicating ethical legitimacies in the scotland-china flower economy","eco","1"
"ERO_581","reconstructing chinese intellectual history: doctrinal assumptions and exegetical strategies in he xiu’s gongyang commentary","eco","1"
"ERO_582","the works of john day: recovered, revived, reconceived","eco","1"
"ERO_583","resolving the cryptic early fossil record of fungi","eco","1"
"ERO_584","black ecologies: race and the long anthropocene","eco","1"
"ERO_585","recommend it: a randomised trial on timing of recommencement of direct oral  anticoagulants in traumatic intracranial haemorrhage","eco","1"
"ERO_586","disparities in lifecourse trajectories and their health and wellbeing outcomes for minoritised ethnic older adults in the uk","eco","1"
"ERO_587","disparities in lifecourse trajectories and their health and wellbeing outcomes for minoritised ethnic older adults in the uk","eco","1"
"ERO_588","the past, present and future of snow algae in antarctica: a threatened terrestrial ecosystem?  - nerc standard via sams","eco","1"
"ERO_589","futureconv: advanced converter control for 100% renewable power systems","eco","1"
"ERO_590","designing and developing effective immersive environments for clinical mental health care and recovery - may 21","eco","1"
"ERO_591","industrial secondment for tank testing of optimised wave energy converters","eco","1"
"ERO_592","evolving technological ecologies - visual and performing arts","eco","1"
"ERO_593","covid-19 and understandings of the uk's political economy in publics and elites","eco","1"
"ERO_594","eco-beef uk: improving the economical and environmental sustainability of uk beef breeds","eco","1"
"ERO_595","ascus art and science secondment fellowship: research communication, integrating social sciences and humanities approaches and arts based project management","eco","1"
"ERO_596","development of a toolkit for diet analyses of antarctic fur seals to inform ecosystem-based management of south georgia fisheries","eco","1"
"ERO_597","learning to recognize landslides and catastrophic landscape change with deep neural networks","eco","1"
"ERO_598","deconstructing the influence of astrocytes on mnd in vivo using zebrafish","eco","1"
"ERO_599","experimental and ecological approaches in the study of cognitive control development in low-ses contexts during and after the covid-19 pandemic.","eco","1"
"ERO_600","centre for digital citizens - next stage digital economy centre","eco","1"
"ERO_601","co2-enhanced gas recovery (co2-egr): multi-scale simulation of rarefied gas flows in porous media","eco","1"
"ERO_602","governance of economic inclusion of low-income families: designing and delivering covid-resilient policy interventions","eco","1"
"ERO_603","the social and cultural currencies of debt and money: exploring the long life of severe economic crisis in lebanon","eco","1"
"ERO_604","structures and practices of health, recovery and engagement (sphere): the social life of disasters in indonesia","eco","1"
"ERO_605","seamless analysis of extracellular neural recordings with spikeinterface","eco","1"
"ERO_606","nerc-most - development of real-time sensing system for micro water pollutants monitoring and remediation to achieve ecological good health","eco","1"
"ERO_607","agro4nickel - developing a sustainable agromining system for nickel recovery in serpentine soils of scotland and portugal","eco","1"
"ERO_608","secondment - hgu","eco","1"
"ERO_609","genetic characterization of the immunological regions of up to 600 recent erysipelothrix spp. strains to identify cross-protective targets for future second generation vaccine development","eco","1"
"ERO_610","the desert in motion: ecological change and nomadic belonging in the northwestern sahara","eco","1"
"ERO_611","the equal pay for equal work principle in collective bargaining and its implications for economic efficiency and inequality","eco","1"
"ERO_612","decoding hidden heritages in gaelic traditional narrative with text-mining and phylogenetics","eco","1"
"ERO_613","decoding hidden heritages in gaelic traditional narrative with text-mining and phylogenetics","eco","1"
"ERO_614","memories of becoming: siblings, social mobility, and the lives of kinship in post-1945 philippines","eco","1"
"ERO_615","imperialist and empowering data: data ecosystems, evidence-based policy, and health advocacy in senegal","eco","1"
"ERO_616","developing hybrid learning ecologies through music improvisation","eco","1"
"ERO_617","intelligent ultrasound hand gesture recognition","eco","1"
"ERO_618","visual supports in mainstream secondary school:  implementation and evaluation of a visual supports resource and training pack","eco","1"
