"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId","School","College"
"NERC","NE/F017448/1","University of Edinburgh","Sch of Geosciences","Research Grant","Hinton","Richard",NA,NA,NA,NA,NA,NA,"Past records of ocean acidification - the Palaeogene hyperthermals","31/08/2008","30/08/2010",53991,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F017448/1","068E305E-A8FF-47C7-8C95-8262E31B6476","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","232F42D1-3D9C-42C9-A2F3-6DF5A9CDA224","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/F034520/1","University of Edinburgh","Sch of Geosciences","Research Grant","Brown","Nigel","Leslie",NA,NA,NA,NA,NA,"Carbon Capture from Power Plant and Atmosphere","30/09/2008","30/03/2014",3452949,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F034520/1","D5F6BCE8-EDDF-4DCC-9926-B6732F7B7D81","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D824B994-EA09-4031-82BB-2F93191A525A","School of Geosciences","College of Science and Engineering"
"NERC","NE/P018920/1","University of Edinburgh","Sch of Geosciences","Research Grant","Williams","Mathew",NA,"http://orcid.org/0000-0001-6117-5208",NA,NA,NA,NA,"Soils Research to deliver Greenhouse Gas REmovals and Abatement Technologies (Soils-R-GGREAT)","19/06/2017","18/06/2021",315949,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P018920/1","756FF7C8-D406-4FE8-8294-787C2A6CE7BA","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B5BB39B9-0CFA-4514-8973-73C327F59EFE","School of Geosciences","College of Science and Engineering"
"NERC","NE/K000292/1","University of Edinburgh","Sch of Geosciences","Research Grant","Williams","Mathew",NA,"http://orcid.org/0000-0001-6117-5208",NA,NA,NA,NA,"Carbon Cycling Linkages of Permafrost Systems [CYCLOPS]","31/07/2012","31/01/2016",280484,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K000292/1","542122E7-417B-4B9E-8727-89AE2E100500","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B5BB39B9-0CFA-4514-8973-73C327F59EFE","School of Geosciences","College of Science and Engineering"
"BBSRC","BB/I009183/2","University of Edinburgh","Royal (Dick) School of Veterinary Scienc","Research Grant","Baggs","Liz",NA,NA,NA,NA,NA,NA,"Linkages between plant functional diversity soil biological communities and ecosystem services in agricultural grassland","01/02/2017","31/10/2017",80029,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/I009183/2","909933C7-D715-49A7-9438-B9808CC51B22","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","981E5899-8B3C-450B-9AC8-B594EFB06DE0","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"NERC","NE/V007149/1","University of Edinburgh","Sch of Geosciences","Research Grant","Arnold","Tim",NA,"http://orcid.org/0000-0001-9097-8907",NA,NA,NA,NA,"POLYGRAM: POLYisotopologues of GReenhouse gases: Analysis and Modelling","14/11/2020","13/11/2024",575808,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/V007149/1","94E20BD5-F484-442E-BB54-438AAFA4E7EE","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6B97D069-10F8-4163-BC57-2DF4108D3E29","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/G02037X/1","University of Edinburgh","Sch of Engineering","Other Grant","Erskine","Patricia","Una",NA,NA,NA,NA,NA,"Carbon Capture and Storage Interactive: CCSI - Edinburgh","01/02/2009","30/05/2011",93338,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G02037X/1","EBE11534-B81C-4A61-A128-8C6D7C1E2792","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","84F09ED7-F54C-4835-B1BC-E0B93FBAF854","School of Engineering","College of Science and Engineering"
"NERC","NE/F020422/1","University of Edinburgh","Sch of Geosciences","Research Grant","McLeod","Andrew","Robert",NA,NA,NA,NA,NA,"Mechanisms for aerobic methane production from terrestrial vegetation","01/02/2009","18/01/2013",389751,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F020422/1","E716FADC-EFD9-46AA-86B9-0375F6983CE2","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","980292F0-F7E1-4A6E-B32D-F6FA93A97591","School of Geosciences","College of Science and Engineering"
"NERC","NE/G00725X/1","University of Edinburgh","Sch of Geosciences","Research Grant","Mencuccini","Maurizio",NA,NA,NA,NA,NA,NA,"Impacts of nitrogen deposition on the forest carbon cycle: from ecosystem manipulations to national scale predictions","31/08/2009","30/08/2015",599577,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/G00725X/1","FB0675AE-D0C0-47F9-B6BB-855F31856C9C","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","FB0B2BC3-CB97-4DCD-92BB-C8CA26FFBE6C","School of Geosciences","College of Science and Engineering"
"NERC","NE/K009028/2","University of Edinburgh","School of Geosciences","Fellowship","Hennige","Sebastian",NA,NA,NA,NA,NA,NA,"Coral pH regulation and climate change: using novel tissue cultures to assess the future of key habitat forming species","17/10/2016","16/10/2018",237683,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K009028/2","C647F054-DD31-4676-BC53-C71D81FF2C50","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B22C6DE9-20EC-4ADE-855B-EDE7B7207721","School of Geosciences","College of Science and Engineering"
"NERC","NE/S003819/1","University of Edinburgh","Sch of Geosciences","Research Grant","Arnold","Tim",NA,"http://orcid.org/0000-0001-9097-8907",NA,NA,NA,NA,"Detection and Attribution of Regional greenhouse gas Emissions in the UK (DARE-UK)","01/02/2019","31/01/2023",616947,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S003819/1","FF218F0B-2D42-440F-BE57-FFC5BE2422F4","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6B97D069-10F8-4163-BC57-2DF4108D3E29","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/I016686/1","University of Edinburgh","Sch of Chemistry","Research Grant","Campbell","Eleanor","Elizabeth","http://orcid.org/0000-0002-4656-3218",NA,NA,NA,NA,"Nanotubes for Carbon Capture","01/11/2010","29/04/2012",201025,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I016686/1","DEECFDE2-79FE-4F10-A502-3A34069F5E70","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","ECF2983C-5870-41FD-9DCD-60465998844E","School of Chemistry","College of Science and Engineering"
"NERC","NE/F017294/1","University of Edinburgh","Sch of Geosciences","Research Grant","Nichol","Caroline","Jane",NA,NA,NA,NA,NA,"Remote sensing of solar induced fluorescence and the Photochemical Reflectance Index (PRI) for carbon uptake in two contrasting forest ecosystem types","30/09/2008","31/01/2014",415500,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F017294/1","28D60D46-EFF0-4FB8-A4A8-2DAC0D34294D","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","2F433965-C425-45D8-9C0B-08866BBD5651","School of Geosciences","College of Science and Engineering"
"NERC","NE/M007650/1","University of Edinburgh","Sch of Law","Research Grant","Morgera","Elisa",NA,NA,NA,NA,NA,NA,"Sharing the benefits of sustainable fisheries: from global to local legal approaches to marine ecosystem services for poverty alleviation","31/08/2015","30/08/2016",117190,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","0D55096E-9851-4A26-9B62-D301CF35E37F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB","School of Law","College of Arts, Humanities & Social Sciences"
"NERC","NE/K002449/1","University of Edinburgh","Sch of Geosciences","Research Grant","Palmer","Paul",NA,NA,NA,NA,NA,NA,"Greenhouse gAs Uk and Global Emissions (GAUGE)","01/03/2013","31/10/2017",744321,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K002449/1","E1AEEFE4-5F28-4724-AFC2-A28C06DB334B","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","F64F8711-B1DE-406B-B648-5A427216B839","School of Geosciences","College of Science and Engineering"
"NERC","NE/G008531/1","University of Edinburgh","Sch of Geosciences","Research Grant","Meir","Patrick",NA,NA,NA,NA,NA,NA,"Valuing rainforests as Global Eco-Utilities: a novel mechanism to pay communities for ecosystem services provided by the Amazon","31/05/2009","31/12/2010",6084,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/G008531/1","6408B2F2-D63B-473A-B918-771759348D47","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","5664A7E8-95DC-4DCA-A6C2-9C72A6A7CA75","School of Geosciences","College of Science and Engineering"
"ESRC","ES/N013255/2","University of Edinburgh","The Roslin Institute","Research Grant","Moran","Dominic","Dominic",NA,NA,NA,NA,NA,"Sustainable Agricultural Intensification and the Nexus in Brazil (SAIN)","06/03/2018","30/08/2019",216784,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/N013255/2","380EBD7B-913C-4F36-B69F-07A30D43B870","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","25DCC672-D7DD-4FDD-9068-DB02DF2D51EE","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"NERC","NE/V017144/1","University of Edinburgh","Sch of Geosciences","Research Grant","Arnold","Tim",NA,"http://orcid.org/0000-0001-9097-8907",NA,NA,NA,NA,"First purpose-built UK tall tower for greenhouse gas research","20/01/2021","19/02/2023",996172,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/V017144/1","6296F69C-7EA8-4FF6-B253-73A2E59E87F1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6B97D069-10F8-4163-BC57-2DF4108D3E29","School of Geosciences","College of Science and Engineering"
"NERC","NE/H010785/1","University of Edinburgh","Sch of Geosciences","Research Grant","Sohi","Saran",NA,NA,NA,NA,NA,NA,"Understanding processes determining soil carbon balances in bioenergy crops CARBO-BIOCROP","01/01/2010","31/12/2014",127337,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H010785/1","3F34F61C-2191-41F1-9E37-E9637177BF58","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","52862A83-D4AF-4B64-8488-F08F9A45D2E2","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/J018090/1","University of Edinburgh","Sch of Chemistry","Research Grant","Love","Jason","Brian",NA,NA,NA,NA,NA,"Clean catalysis for sustainable development","31/12/2012","30/12/2017",337697,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J018090/1","A5A494E7-E4F6-45BC-803E-5933BE374B93","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","558642DF-B318-41EA-A3B9-1E5BEF317A6F","School of Chemistry","College of Science and Engineering"
"NERC","NE/H014268/1","University of Edinburgh","Sch of Geosciences","Research Grant","Tudhope","Alexander","William",NA,NA,NA,NA,NA,"Sea level and climate change from geochemical analysis of corals from the Great Barrier Reef: IODP Expedition 325","30/09/2010","29/09/2012",39528,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H014268/1","B683FBFB-3267-4423-BCC6-A3F40BB902ED","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","22CF49FE-CD3D-4768-BCDF-08E85460E6DA","School of Geosciences","College of Science and Engineering"
"NERC","NE/V002090/1","University of Edinburgh","Sch of Geosciences","Research Grant","Doherty","Ruth",NA,"http://orcid.org/0000-0001-7601-2209",NA,NA,NA,NA,"The health and equity impacts of climate change mitigation measures on indoor and outdoor air pollution exposure (HEICCAM)","31/08/2020","30/08/2023",507898,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/V002090/1","B3184AD0-5F75-4FC9-A6DD-F901A6840565","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","1B3D75A4-FFA6-4F13-B9A8-E83939434767","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/M008215/1","University of Edinburgh","Sch of Social and Political Science","Research Grant","Webb","Janette",NA,NA,NA,NA,NA,NA,"Reframing Energy Demand: Innovation for Sustainable Heat","31/12/2014","31/08/2018",580962,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M008215/1","57C75CE4-BFCB-4FA6-B729-51D895455218","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","00940FDD-EB46-40A9-A955-EAAA61CC3748","School of Social and Political Science","College of Arts, Humanities & Social Sciences"
"UKRI","MR/T042710/1","University of Edinburgh","Sch of Chemistry","Fellowship","Garden","Jennifer","Anne","http://orcid.org/0000-0002-9027-4931",NA,NA,NA,NA,"Catalysis for Compatibilizers: Upcycling Plastic Waste into Value-Added Materials","01/02/2021","31/01/2025",1129483,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/T042710/1","2A899D87-769C-41F4-886B-3ABB3562B3FD","5807F429-7BF0-4E42-917E-D4ADF5399E7B","2DB7ED73-8E89-457A-A395-FAC12F929C1A","FB7625F2-E78F-4FBB-B0D3-E79A407E2270","School of Chemistry","College of Science and Engineering"
"EPSRC","EP/G062129/1","University of Edinburgh","Sch of Engineering","Research Grant","Brandani","Stefano",NA,NA,NA,NA,NA,NA,"Innovative Gas Separations for Carbon Capture","30/09/2009","29/09/2013",1895910,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G062129/1","887F7C22-FD8B-420C-ACCE-0C868F2230A6","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","00D053E2-B7A8-45F9-A7B0-2A823883ACC0","School of Engineering","College of Science and Engineering"
"STFC","ST/L001810/1","University of Edinburgh","Sch of Geosciences","Research Grant","Moncrieff","John",NA,NA,NA,NA,NA,NA,"A Differential Absorption LiDAR for Measurement of Greenhouse Gases","30/09/2013","30/07/2015",174196,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ST/L001810/1","742253B7-38C6-49CE-A0AE-C46F00B1AD4C","D7F4F462-0518-4784-908A-D12633C139B3","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D00417A5-2F48-4F91-8AA7-311150D398FB","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/W019000/1","University of Edinburgh","Sch of Biological Sciences","Research Grant","Wallace","Stephen",NA,"http://orcid.org/0000-0003-1391-5800",NA,NA,NA,NA,"Sustainable Microbial Manufacture of Adipic Acid from Industrial and Post-Consumer Waste","30/04/2022","29/04/2025",1348312,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W019000/1","0011CA65-CFC9-415C-B29B-953630A10BEC","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","DB34A951-85E7-4AA5-8F65-A00ED46691DF","School of Biological Sciences","College of Science and Engineering"
"EPSRC","EP/V049003/1","University of Edinburgh","Sch of Chemistry","Research Grant","Garden","Jennifer","Anne","http://orcid.org/0000-0002-9027-4931",NA,NA,NA,NA,"Switchable Catalysis for Block Copolymer Compatibilization of Plastic Waste","30/06/2021","29/06/2023",202387,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V049003/1","55FF27DB-2FF4-477A-A4EE-B5AA5AE2A8B2","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","FB7625F2-E78F-4FBB-B0D3-E79A407E2270","School of Chemistry","College of Science and Engineering"
"NERC","NE/F52330X/1","University of Edinburgh","Sch of Geosciences","Research Grant","Tudhope","Alexander","William",NA,NA,NA,NA,NA,"The last deglacial sea-level &amp; climate changes.Coral reef records in Checreef: South Pacific: Tahiti (French Polynesia) IODP expedition","31/08/2007","30/08/2010",30959,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F52330X/1","840D3F9E-5B92-41CD-A353-DED414293C14","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","22CF49FE-CD3D-4768-BCDF-08E85460E6DA","School of Geosciences","College of Science and Engineering"
"NERC","NE/M017168/1","University of Edinburgh","Sch of Geosciences","Research Grant","Mitchard","Edward","Thomas","http://orcid.org/0000-0002-5690-4055",NA,NA,NA,NA,"Converting developments in the use of satellite radar data to detect deforestation and forest degradation into market products","01/11/2014","31/12/2014",9449,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M017168/1","2EC4CFA4-CFA7-40A7-8ED9-CA99179426B7","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","217AA8AA-514F-4E05-98FE-17F5AF6A42A0","School of Geosciences","College of Science and Engineering"
"NERC","NE/H000437/1","University of Edinburgh","Sch of Geosciences","Research Grant","Essery","Richard","Lawrence","http://orcid.org/0000-0003-1756-9095",NA,NA,NA,NA,"The response of the Arctic regions to changing climate","31/03/2010","31/03/2013",351415,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H000437/1","52E0CA03-198D-4DFF-BFB2-C381E19F2BC4","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","86F46246-B5D0-444A-861F-1C71DF678511","School of Geosciences","College of Science and Engineering"
"NERC","NE/W006448/1","University of Edinburgh","Sch of Geosciences","Research Grant","Myers-Smith","Isla H.",NA,NA,NA,NA,NA,NA,"TundraTime: Plant phenology change as a driver of Arctic greening trends","31/03/2022","31/12/2025",603466,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/W006448/1","3D5B0324-4F4F-4B44-A56F-7A7C72201D66","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D99AA413-09E8-48C9-8432-CDDF8E88A012","School of Geosciences","College of Science and Engineering"
"NERC","NE/M003906/1","University of Edinburgh","Sch of Geosciences","Research Grant","Doherty","Ruth",NA,"http://orcid.org/0000-0001-7601-2209",NA,NA,NA,NA,"Coupling Regional and Urban Processes: Effects on Air Quality","30/09/2014","30/10/2018",530514,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M003906/1","9A6774C7-CE23-4CA3-9F38-6D3347B8E181","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","1B3D75A4-FFA6-4F13-B9A8-E83939434767","School of Geosciences","College of Science and Engineering"
"NERC","NE/H013474/1","University of Edinburgh","Sch of Geosciences","Research Grant","Haszeldine","Stuart",NA,NA,NA,NA,NA,NA,"Carbon Capture and Storage: Realising the Potential","31/03/2010","30/03/2012",153418,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H013474/1","5ED5FDAF-6C86-4E74-B6D7-275F98872452","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8806A5B5-54A8-4315-916C-3559E79417C2","School of Geosciences","College of Science and Engineering"
"NERC","NE/H003940/1","University of Edinburgh","Sch of Geosciences","Research Grant","Palmer","Paul",NA,NA,NA,NA,NA,NA,"Towards the UK community exploitation of new satellite measurements of CO2 from the Greenhouse gases Observing SATellite (GOSAT)","01/02/2010","31/12/2011",161859,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H003940/1","CA4FF17C-E216-4B82-A6E7-CA06AB67F7F4","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","F64F8711-B1DE-406B-B648-5A427216B839","School of Geosciences","College of Science and Engineering"
"NERC","NE/M007103/1","University of Edinburgh","Sch of Geosciences","Research Grant","Fisher","Janet",NA,NA,NA,NA,NA,NA,"Why should ecosystem services be used for poverty alleviation? Establishing the ethical foundations of ESPA. (Short title: WhyESPA)","19/08/2015","31/12/2017",125454,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007103/1","2D2A777F-B288-4A1B-867C-99144BB3D7AC","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","7764E7F7-0E36-4396-AF4C-2E1A420F8C2F","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/P007805/1","University of Edinburgh","Sch of Engineering","Research Grant","Wallace","Robin",NA,NA,NA,NA,NA,NA,"Centre for Advanced Materials for Renewable Energy Generation","01/12/2016","30/05/2021",2037439,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P007805/1","69969E2A-0B77-4FAD-B6DE-8BAB56FB7789","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA","School of Engineering","College of Science and Engineering"
"NERC","NE/N015916/1","University of Edinburgh","Sch of Geosciences","Research Grant","Palmer","Paul",NA,NA,NA,NA,NA,NA,"The Global Methane Budget","30/04/2016","29/04/2020",216619,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N015916/1","2E144518-85B4-48C4-983E-CE987DD37A5F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","F64F8711-B1DE-406B-B648-5A427216B839","School of Geosciences","College of Science and Engineering"
"NERC","NE/F005040/1","University of Edinburgh","Sch of Geosciences","Research Grant","Grace","John",NA,NA,NA,NA,NA,NA,"Amazon Integrated Carbon Analysis / AMAZONICA","31/05/2008","29/06/2014",463052,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F005040/1","29E37278-A8A7-4B07-B174-FF4A8DF726CC","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6ECDB5E1-BF2F-413B-9195-BB3999A6A223","School of Geosciences","College of Science and Engineering"
"NERC","NE/L012502/1","University of Edinburgh","Sch of Geosciences","Research Grant","Moncrieff","John",NA,NA,NA,NA,NA,NA,"A differential absorption LiDAR for multi-species greenhouse gas detection","30/04/2014","31/10/2015",142109,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L012502/1","546848A7-8654-46B6-BA8F-493A1F65E8F7","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D00417A5-2F48-4F91-8AA7-311150D398FB","School of Geosciences","College of Science and Engineering"
"NERC","NE/M016323/1","University of Edinburgh","Sch of Geosciences","Research Grant","Myers-Smith","Isla H.",NA,NA,NA,NA,NA,NA,"Climate as a driver of shrub expansion and tundra greening","30/04/2015","29/04/2018",533956,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M016323/1","F7BAD612-4C63-4688-ACD5-9E649C6BCD98","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D99AA413-09E8-48C9-8432-CDDF8E88A012","School of Geosciences","College of Science and Engineering"
